,iso_code,country,year,Energy Type,Energy Consumption (TwH)
628,OWID_WRL,World,1988,wind_consumption,0.921
24,OWID_WRL,World,1989,biofuel_consumption,0.0
79,OWID_WRL,World,1989,coal_consumption,26213.476
794,OWID_WRL,World,1989,energy_per_capita,17943.04
739,OWID_WRL,World,1989,energy_per_gdp,2.222
134,OWID_WRL,World,1989,fossil_fuel_consumption,82383.876
189,OWID_WRL,World,1989,gas_consumption,18870.551
244,OWID_WRL,World,1989,hydro_consumption,5798.813
299,OWID_WRL,World,1989,low_carbon_consumption,11499.57
354,OWID_WRL,World,1989,nuclear_consumption,5402.812
409,OWID_WRL,World,1989,oil_consumption,37299.85
464,OWID_WRL,World,1989,other_renewable_consumption,289.857
684,OWID_WRL,World,1989,primary_energy_consumption,93975.615
519,OWID_WRL,World,1989,renewables_consumption,6096.758
574,OWID_WRL,World,1989,solar_consumption,0.728
629,OWID_WRL,World,1989,wind_consumption,7.36
25,OWID_WRL,World,1990,biofuel_consumption,102.76
80,OWID_WRL,World,1990,coal_consumption,25894.997
795,OWID_WRL,World,1990,energy_per_capita,17844.721
740,OWID_WRL,World,1990,energy_per_gdp,2.201
135,OWID_WRL,World,1990,fossil_fuel_consumption,83070.319
190,OWID_WRL,World,1990,gas_consumption,19484.436
245,OWID_WRL,World,1990,hydro_consumption,5996.967
300,OWID_WRL,World,1990,low_carbon_consumption,11992.629
355,OWID_WRL,World,1990,nuclear_consumption,5556.843
410,OWID_WRL,World,1990,oil_consumption,37690.886
465,OWID_WRL,World,1990,other_renewable_consumption,324.89
685,OWID_WRL,World,1990,primary_energy_consumption,95062.948
520,OWID_WRL,World,1990,renewables_consumption,6435.785
575,OWID_WRL,World,1990,solar_consumption,1.079
630,OWID_WRL,World,1990,wind_consumption,10.09
26,OWID_WRL,World,1991,biofuel_consumption,108.63
81,OWID_WRL,World,1991,coal_consumption,25642.774
796,OWID_WRL,World,1991,energy_per_capita,17681.04
741,OWID_WRL,World,1991,energy_per_gdp,2.191
136,OWID_WRL,World,1991,fossil_fuel_consumption,83310.064
191,OWID_WRL,World,1991,gas_consumption,19976.062
246,OWID_WRL,World,1991,hydro_consumption,6137.256
301,OWID_WRL,World,1991,low_carbon_consumption,12420.196
356,OWID_WRL,World,1991,nuclear_consumption,5822.712
411,OWID_WRL,World,1991,oil_consumption,37691.227
466,OWID_WRL,World,1991,other_renewable_consumption,338.842
686,OWID_WRL,World,1991,primary_energy_consumption,95730.26
521,OWID_WRL,World,1991,renewables_consumption,6597.484
576,OWID_WRL,World,1991,solar_consumption,1.403
631,OWID_WRL,World,1991,wind_consumption,11.352
27,OWID_WRL,World,1992,biofuel_consumption,106.608
82,OWID_WRL,World,1992,coal_consumption,25549.959
797,OWID_WRL,World,1992,energy_per_capita,17539.656
742,OWID_WRL,World,1992,energy_per_gdp,2.153
137,OWID_WRL,World,1992,fossil_fuel_consumption,83961.136
192,OWID_WRL,World,1992,gas_consumption,20066.809
247,OWID_WRL,World,1992,hydro_consumption,6136.322
302,OWID_WRL,World,1992,low_carbon_consumption,12488.026
357,OWID_WRL,World,1992,nuclear_consumption,5866.919
412,OWID_WRL,World,1992,oil_consumption,38344.368
467,OWID_WRL,World,1992,other_renewable_consumption,363.728
687,OWID_WRL,World,1992,primary_energy_consumption,96449.162
522,OWID_WRL,World,1992,renewables_consumption,6621.107
577,OWID_WRL,World,1992,solar_consumption,1.302
632,OWID_WRL,World,1992,wind_consumption,13.148
28,OWID_WRL,World,1993,biofuel_consumption,111.162
83,OWID_WRL,World,1993,coal_consumption,25675.129
798,OWID_WRL,World,1993,energy_per_capita,17400.078
743,OWID_WRL,World,1993,energy_per_gdp,2.139
138,OWID_WRL,World,1993,fossil_fuel_consumption,84043.499
193,OWID_WRL,World,1993,gas_consumption,20269.103
248,OWID_WRL,World,1993,hydro_consumption,6503.463
303,OWID_WRL,World,1993,low_carbon_consumption,13076.747
358,OWID_WRL,World,1993,nuclear_consumption,6068.966
413,OWID_WRL,World,1993,oil_consumption,38099.268
468,OWID_WRL,World,1993,other_renewable_consumption,375.783
688,OWID_WRL,World,1993,primary_energy_consumption,97120.246
523,OWID_WRL,World,1993,renewables_consumption,7007.781
578,OWID_WRL,World,1993,solar_consumption,1.546
633,OWID_WRL,World,1993,wind_consumption,15.827
29,OWID_WRL,World,1994,biofuel_consumption,120.114
84,OWID_WRL,World,1994,coal_consumption,25773.562
799,OWID_WRL,World,1994,energy_per_capita,17369.002
744,OWID_WRL,World,1994,energy_per_gdp,2.115
139,OWID_WRL,World,1994,fossil_fuel_consumption,85101.869
194,OWID_WRL,World,1994,gas_consumption,20393.341
249,OWID_WRL,World,1994,hydro_consumption,6546.899
304,OWID_WRL,World,1994,low_carbon_consumption,13261.399
359,OWID_WRL,World,1994,nuclear_consumption,6182.906
414,OWID_WRL,World,1994,oil_consumption,38934.965
469,OWID_WRL,World,1994,other_renewable_consumption,390.027
689,OWID_WRL,World,1994,primary_energy_consumption,98363.268
524,OWID_WRL,World,1994,renewables_consumption,7078.493
579,OWID_WRL,World,1994,solar_consumption,1.667
634,OWID_WRL,World,1994,wind_consumption,19.786
30,OWID_WRL,World,1995,biofuel_consumption,126.441
85,OWID_WRL,World,1995,coal_consumption,25954.363
800,OWID_WRL,World,1995,energy_per_capita,17482.117
745,OWID_WRL,World,1995,energy_per_gdp,2.079
140,OWID_WRL,World,1995,fossil_fuel_consumption,86507.622
195,OWID_WRL,World,1995,gas_consumption,21108.566
250,OWID_WRL,World,1995,hydro_consumption,6904.543
305,OWID_WRL,World,1995,low_carbon_consumption,13913.38
360,OWID_WRL,World,1995,nuclear_consumption,6451.105
415,OWID_WRL,World,1995,oil_consumption,39444.693
470,OWID_WRL,World,1995,other_renewable_consumption,406.56
690,OWID_WRL,World,1995,primary_energy_consumption,100421.001
525,OWID_WRL,World,1995,renewables_consumption,7462.274
580,OWID_WRL,World,1995,solar_consumption,1.78
635,OWID_WRL,World,1995,wind_consumption,22.95
31,OWID_WRL,World,1996,biofuel_consumption,121.037
86,OWID_WRL,World,1996,coal_consumption,26572.145
801,OWID_WRL,World,1996,energy_per_capita,17746.228
746,OWID_WRL,World,1996,energy_per_gdp,2.076
141,OWID_WRL,World,1996,fossil_fuel_consumption,89116.102
196,OWID_WRL,World,1996,gas_consumption,22163.46
251,OWID_WRL,World,1996,hydro_consumption,7001.392
306,OWID_WRL,World,1996,low_carbon_consumption,14253.758
361,OWID_WRL,World,1996,nuclear_consumption,6685.564
416,OWID_WRL,World,1996,oil_consumption,40380.497
471,OWID_WRL,World,1996,other_renewable_consumption,418.238
691,OWID_WRL,World,1996,primary_energy_consumption,103369.86
526,OWID_WRL,World,1996,renewables_consumption,7568.194
581,OWID_WRL,World,1996,solar_consumption,1.959
636,OWID_WRL,World,1996,wind_consumption,25.568
32,OWID_WRL,World,1997,biofuel_consumption,126.272
87,OWID_WRL,World,1997,coal_consumption,26526.834
802,OWID_WRL,World,1997,energy_per_capita,17671.673
747,OWID_WRL,World,1997,energy_per_gdp,2.03
142,OWID_WRL,World,1997,fossil_fuel_consumption,89974.447
197,OWID_WRL,World,1997,gas_consumption,22034.355
252,OWID_WRL,World,1997,hydro_consumption,7128.16
307,OWID_WRL,World,1997,low_carbon_consumption,14377.597
362,OWID_WRL,World,1997,nuclear_consumption,6639.662
417,OWID_WRL,World,1997,oil_consumption,41413.258
472,OWID_WRL,World,1997,other_renewable_consumption,448.019
